state;V*
((on b3 b2) (arm-empty) (clear b4) (clear b3) (on-table b4) (on-table b1) (on-table b2) (clear b1));-2
((on-table b3) (arm-empty) (clear b2) (on-table b1) (on b4 b3) (clear b1) (on b2 b4));0
((holding b2) (clear b4) (on b3 b1) (on-table b1) (on b4 b3));-1
((holding b1) (on b3 b4) (clear b3) (on-table b4) (clear b2) (on-table b2));-5
((on b4 b1) (on-table b3) (arm-empty) (clear b4) (clear b3) (clear b2) (on-table b1) (on-table b2));-2
((holding b1) (on-table b3) (clear b4) (on b4 b2) (on b2 b3));-7
((on-table b3) (arm-empty) (on-table b4) (clear b2) (on b1 b3) (clear b1) (on b2 b4));-6
((on-table b3) (arm-empty) (clear b3) (on-table b4) (on b1 b2) (clear b1) (on b2 b4));-6
((on-table b3) (clear b3) (clear b2) (on-table b1) (on-table b2) (clear b1) (holding b4));-1
((on b1 b4) (on-table b4) (clear b2) (holding b3) (on-table b2) (clear b1));-5
((on-table b3) (arm-empty) (clear b4) (on b2 b3) (on-table b4) (on b1 b2) (clear b1));-6
((on-table b3) (arm-empty) (on b4 b3) (on b1 b2) (clear b1) (on b2 b4));0
((holding b1) (on-table b3) (clear b2) (on b4 b3) (on b2 b4));-1
((on b3 b1) (clear b3) (on-table b2) (on b1 b2) (holding b4));-1
((on b1 b4) (arm-empty) (on b3 b1) (clear b3) (on-table b4) (clear b2) (on-table b2));-6
((on b3 b2) (holding b1) (clear b4) (on b4 b3) (on-table b2));-1
((on-table b3) (on b2 b3) (on b1 b2) (clear b1) (holding b4));-7
((arm-empty) (on b3 b4) (clear b3) (on-table b4) (clear b2) (on-table b1) (on-table b2) (clear b1));-4
((on b3 b2) (on b1 b3) (on-table b2) (clear b1) (holding b4));-5
((on-table b3) (arm-empty) (clear b4) (on b4 b2) (clear b3) (on-table b1) (on-table b2) (clear b1));-2
((holding b1) (on b3 b4) (clear b3) (on b4 b2) (on-table b2));-5
((arm-empty) (clear b4) (on b3 b1) (on b4 b2) (on b2 b3) (on-table b1));-6
((arm-empty) (clear b4) (on b3 b1) (clear b3) (on-table b4) (clear b2) (on-table b1) (on-table b2));-2
((on b3 b2) (on b1 b4) (arm-empty) (on b4 b3) (on-table b2) (clear b1));0
((holding b2) (on b3 b4) (on-table b4) (on b1 b3) (clear b1));-7
((on b3 b2) (arm-empty) (clear b4) (on-table b4) (on b1 b3) (on-table b2) (clear b1));-4
((on b1 b4) (arm-empty) (on b3 b1) (on b2 b3) (on-table b4) (clear b2));-8
((arm-empty) (on b3 b4) (on b2 b1) (on b4 b2) (clear b3) (on-table b1));-4
((on b1 b4) (on-table b3) (arm-empty) (clear b2) (on b4 b3) (on-table b2) (clear b1));0
((on b1 b4) (on-table b3) (arm-empty) (clear b3) (on-table b4) (clear b2) (on-table b2) (clear b1));-4
((holding b2) (clear b4) (on b3 b1) (clear b3) (on-table b4) (on-table b1));-3
((arm-empty) (clear b4) (on b3 b1) (clear b3) (on-table b4) (on-table b2) (on b1 b2));-2
((on-table b3) (arm-empty) (clear b3) (on-table b4) (clear b2) (on-table b1) (clear b1) (on b2 b4));-4
((on b4 b1) (on-table b3) (arm-empty) (clear b4) (on b2 b3) (clear b2) (on-table b1));-4
((on b1 b4) (arm-empty) (on b3 b1) (on b4 b2) (clear b3) (on-table b2));-6
((on-table b3) (arm-empty) (clear b4) (on b4 b2) (on b2 b3) (on-table b1) (clear b1));-6
((on-table b3) (arm-empty) (clear b4) (clear b3) (on-table b4) (clear b2) (on-table b1) (on-table b2) (clear b1));-2
((on b3 b2) (holding b1) (clear b4) (clear b3) (on-table b4) (on-table b2));-3
((arm-empty) (on b3 b4) (on b2 b1) (on-table b4) (clear b2) (on b1 b3));-8
((on b1 b4) (on b4 b2) (holding b3) (on-table b2) (clear b1));-5
((on b4 b1) (holding b2) (on b3 b4) (clear b3) (on-table b1));-5
((arm-empty) (clear b4) (on b3 b1) (clear b2) (on-table b1) (on b4 b3) (on-table b2));0
((arm-empty) (on b3 b4) (on b2 b1) (clear b3) (on-table b4) (clear b2) (on-table b1));-4
((on-table b3) (holding b2) (clear b4) (on-table b1) (on b4 b3) (clear b1));-1
((on b3 b1) (on b2 b3) (clear b2) (on-table b1) (holding b4));-5
((clear b4) (on b2 b1) (on-table b4) (clear b2) (on-table b1) (holding b3));-3
((on-table b3) (on b2 b1) (clear b2) (on b1 b3) (holding b4));-7
((on-table b4) (holding b3) (on b1 b2) (clear b1) (on b2 b4));-7
((on b4 b1) (on-table b3) (holding b2) (clear b4) (on b1 b3));-7
((on-table b3) (arm-empty) (clear b4) (on-table b4) (clear b2) (on b1 b3) (on-table b2) (clear b1));-4
((on b1 b4) (on-table b3) (arm-empty) (on b2 b3) (on-table b4) (clear b2) (clear b1));-6
((clear b4) (on-table b4) (holding b3) (on-table b2) (on b1 b2) (clear b1));-3
((on b3 b2) (clear b3) (on-table b1) (on-table b2) (clear b1) (holding b4));-1
((arm-empty) (on b3 b4) (on b2 b3) (on-table b4) (clear b2) (on-table b1) (clear b1));-6
((on-table b3) (on b2 b3) (clear b2) (on-table b1) (clear b1) (holding b4));-5
((on-table b3) (arm-empty) (clear b4) (clear b2) (on-table b1) (on b4 b3) (on-table b2) (clear b1));0
((clear b4) (on-table b4) (clear b2) (on-table b1) (holding b3) (on-table b2) (clear b1));-3
((clear b4) (on b4 b2) (on-table b1) (holding b3) (on-table b2) (clear b1));-3
((holding b1) (on-table b3) (clear b4) (on b2 b3) (on-table b4) (clear b2));-5
((on b4 b1) (on-table b3) (arm-empty) (clear b4) (on b2 b3) (on b1 b2));-8
((on b1 b4) (on b2 b1) (on-table b4) (clear b2) (holding b3));-7
((on b4 b1) (clear b4) (holding b3) (on-table b2) (on b1 b2));-3
((on-table b3) (arm-empty) (clear b4) (on b2 b1) (on b4 b2) (on b1 b3));-8
((on-table b4) (clear b2) (on-table b1) (holding b3) (clear b1) (on b2 b4));-5
((on b4 b1) (arm-empty) (on b3 b4) (clear b3) (clear b2) (on-table b1) (on-table b2));-4
((arm-empty) (clear b4) (on b3 b1) (on b4 b2) (clear b3) (on-table b1) (on-table b2));-2
((on b1 b4) (on-table b3) (arm-empty) (on b4 b2) (on b2 b3) (clear b1));-8
((on b4 b1) (clear b2) (on-table b1) (holding b3) (on b2 b4));-5
((on b4 b1) (arm-empty) (on b3 b4) (on b2 b3) (clear b2) (on-table b1));-6
((on b4 b1) (clear b4) (clear b2) (on-table b1) (holding b3) (on-table b2));-3
((arm-empty) (on b3 b4) (on-table b4) (clear b2) (on b1 b3) (on-table b2) (clear b1));-6
